Age;Gender;MarStat;Housing;Educ;Inc_Gr;Children;IQ;rate;cost_type;ID
49;0;3;2;3;3;2;150,674042;0,05;Broker;531
47;0;3;1;3;3;2;150,7788006;0,05;Broker;533
48;0;3;1;3;3;2;146,6986524;0,05;Broker;536
57;0;3;2;3;3;2;171,6956212;0,05;Broker;537
42;0;3;2;3;3;2;126,4817501;0,05;Broker;542
42;0;3;1;3;3;3;143,7891752;0,05;Broker;543
47;0;3;1;3;3;2;142,9222171;0,05;Broker;545
45;0;3;1;3;3;2;141,1744031;0,05;Broker;547
45;0;3;2;3;3;0;142,1923058;0,05;Broker;549
43;0;3;2;3;3;2;140,3955998;0,05;Broker;551
46;0;3;1;3;3;2;148,810359;0,05;Broker;553
54;0;3;2;3;3;2;171,7450376;0,05;Broker;556
46;0;3;2;3;3;2;149,5935317;0,05;Broker;560
50;0;3;1;3;3;3;154,861549;0,05;Broker;561
49;0;3;3;3;3;1;152,3525117;0,05;Broker;571
42;0;3;3;3;3;1;130,9650273;0,05;Broker;573
52;0;3;3;3;3;1;157,1189707;0,05;Broker;577
41;0;3;3;3;3;1;131,3240533;0,05;Broker;578
54;0;3;3;3;3;1;163,1599067;0,05;Broker;582
42;0;3;3;3;3;1;140,4345781;0,05;Broker;585
64;0;3;3;3;3;2;180;0,05;Broker;588
58;0;3;3;3;3;0;178,0523946;0,05;Broker;589
48;0;3;3;3;3;2;149,4645901;0,05;Broker;590
42;0;3;3;3;3;2;131,3709445;0,05;Broker;591
47;0;3;3;3;3;2;140,7687728;0,05;Broker;592
49;0;3;3;3;3;0;151,2536557;0,05;Broker;595
45;0;3;3;3;3;2;131,0433816;0,05;Broker;596
44;0;3;3;3;3;2;139,9912395;0,05;Broker;598
46;0;3;3;3;3;2;145,7243335;0,05;Broker;599
62;0;3;3;3;3;0;180;0,05;Broker;611
47;0;3;3;3;3;0;154,7614373;0,05;Broker;613
58;0;3;3;3;3;2;171,2169444;0,05;Broker;616
41;0;3;3;3;3;2;126,0387573;0,05;Broker;618
44;0;3;3;3;4;1;129,0805443;0,05;Broker;622
45;0;3;3;3;4;1;145,2526301;0,05;Broker;625
65;0;3;3;3;4;0;180;0,05;Broker;627
59;0;3;3;3;4;0;180;0,05;Broker;633
65;0;3;3;3;4;2;180;0,05;Broker;634
58;0;3;3;3;4;2;180;0,05;Broker;636
45;0;3;3;3;4;2;145,8866094;0,05;Broker;640
52;0;3;3;3;4;0;165,1242106;0,05;Broker;642
62;0;3;3;3;4;2;180;0,05;Broker;643
62;0;3;3;3;4;0;180;0,05;Broker;644
52;0;3;3;3;4;2;160,0318035;0,05;Broker;645
42;0;3;3;2;3;1;129,1662244;0,05;Broker;649
49;0;3;3;1;1;1;148,2307173;0,05;Broker;656
63;0;3;3;1;2;1;180;0,05;Broker;657
52;0;3;3;1;2;1;159,1395868;0,05;Broker;666
48;0;3;3;4;4;1;152,829294;0,05;Broker;671
54;0;3;3;1;2;1;165,1228355;0,05;Broker;672
46;0;3;3;1;2;1;144,5831846;0,05;Broker;675
41;0;3;3;2;2;2;141,7474349;0,05;Broker;684
48;0;3;3;1;1;2;151,9789657;0,05;Broker;687
58;0;3;3;4;4;2;180;0,05;Broker;691
61;0;3;3;1;2;2;180;0,05;Broker;693
48;0;3;3;4;4;0;147,2823847;0,05;Broker;694
49;0;3;3;1;2;0;159,5406975;0,05;Broker;700
44;0;3;3;4;4;0;140,2049945;0,05;Broker;702
42;0;3;3;2;2;2;124,0486421;0,05;Broker;709
58;0;3;3;4;4;0;180;0,05;Broker;710
50;0;3;3;2;2;0;160,1441278;0,05;Broker;712
45;0;3;3;4;4;2;150,2744239;0,05;Broker;714
43;0;3;3;4;4;2;140,1290281;0,05;Broker;717
49;0;3;3;2;2;2;158,0632063;0,05;Broker;718
52;0;3;3;1;1;2;170,3217946;0,05;Broker;719
42;0;3;3;2;2;2;135,2234777;0,05;Broker;720
46;0;3;3;1;1;2;139,9588492;0,05;Broker;721
54;0;3;3;1;2;2;160,3234373;0,05;Broker;724
49;0;3;3;1;2;0;155,3067289;0,05;Broker;727
56;0;3;3;1;2;0;171,8962189;0,05;Broker;729
50;0;3;3;1;2;2;163,7056407;0,05;Broker;734
54;0;3;3;2;2;0;170,3653299;0,05;Broker;736
43;0;3;3;1;1;3;129,727684;0,05;Broker;737
53;0;3;3;4;4;0;166,9007031;0,05;Broker;738
62;0;3;3;1;1;0;180;0,05;Broker;740
44;0;3;3;4;4;0;142,6902248;0,05;Broker;742
50;0;3;4;3;3;1;159,7023125;0,05;Broker;747
60;0;3;4;3;3;1;180;0,05;Broker;750
45;0;3;4;3;3;1;132,9561186;0,05;Broker;751
58;0;3;4;3;3;1;179,7924352;0,05;Broker;753
49;0;3;4;3;3;1;160,244795;0,05;Broker;755
52;0;3;4;3;3;1;163,508049;0,05;Broker;757
59;0;3;4;3;3;2;180;0,05;Broker;762
60;0;3;4;3;3;2;180;0,05;Broker;768
62;0;3;4;3;3;2;180;0,05;Broker;773
51;0;3;4;3;3;0;152,5495239;0,05;Broker;776
56;0;3;4;3;3;2;170,1933962;0,05;Broker;778
49;0;3;4;3;3;2;154,4978504;0,05;Broker;779
41;0;3;4;3;3;2;123,917502;0,05;Broker;781
54;0;3;4;3;3;2;162,5206927;0,05;Broker;782
46;0;3;4;3;3;2;145,2634462;0,05;Broker;786
54;0;3;4;3;4;1;173,9423718;0,05;Broker;791
57;0;3;4;3;4;2;171,2642534;0,05;Broker;792
49;0;3;4;3;4;2;157,7599065;0,05;Broker;794
54;0;3;4;3;4;2;177,1110987;0,05;Broker;797
58;0;3;4;3;4;2;180;0,05;Broker;799
50;0;3;4;3;4;2;165,7915477;0,05;Broker;801
46;0;3;4;3;4;2;140,8950495;0,05;Broker;803
48;0;3;4;3;4;3;151,6285828;0,05;Broker;805
46;0;3;4;3;4;0;147,7997549;0,05;Broker;806
44;0;3;4;3;4;2;138,7589271;0,05;Broker;807
44;0;3;4;3;4;0;136,3688712;0,05;Broker;810
61;0;3;4;2;3;1;180;0,05;Broker;812
51;0;3;4;2;3;1;165,2727943;0,05;Broker;813
50;0;3;4;2;3;0;146,4208092;0,05;Broker;816
46;0;3;4;2;3;2;142,8071749;0,05;Broker;817
53;0;3;4;2;3;2;158,3021326;0,05;Broker;820
54;0;3;4;1;2;1;172,7738423;0,05;Broker;826
49;0;3;4;1;1;1;158,8515486;0,05;Broker;831
50;0;3;4;2;2;1;153,3537183;0,05;Broker;832
49;0;3;4;1;1;1;154,1848184;0,05;Broker;833
48;0;3;4;1;1;1;148,1239971;0,05;Broker;836
51;0;3;4;1;1;1;159,0197496;0,05;Broker;837
57;0;3;4;2;2;1;178,2906789;0,05;Broker;838
44;0;3;4;1;2;1;129,7000677;0,05;Broker;840
52;0;3;4;1;2;1;173,2318079;0,05;Broker;843
45;0;3;4;1;1;1;144,110378;0,05;Broker;849
61;0;3;4;1;1;1;180;0,05;Broker;850
61;0;3;4;1;2;1;180;0,05;Broker;851
41;0;3;4;4;4;1;127,813788;0,05;Broker;855
47;0;3;4;1;1;1;149,3950835;0,05;Broker;857
44;0;3;4;2;2;1;145,9088475;0,05;Broker;858
45;0;3;4;2;2;2;144,2811212;0,05;Broker;861
56;0;3;4;4;4;2;180;0,05;Broker;866
43;0;3;4;2;2;2;136,49665;0,05;Broker;867
58;0;3;4;4;4;2;177,1453124;0,05;Broker;869
43;0;3;4;1;1;2;132,3392181;0,05;Broker;871
58;0;3;4;1;1;0;180;0,05;Broker;877
53;0;3;4;1;2;2;163,5616434;0,05;Broker;881
56;0;3;4;1;2;0;172,5384315;0,05;Broker;882
52;0;3;4;4;4;2;153,5737646;0,05;Broker;892
49;0;3;4;4;4;0;154,0133043;0,05;Broker;893
52;0;3;4;4;4;2;158,931347;0,05;Broker;896
45;0;3;4;4;4;0;136,7352119;0,05;Broker;897
49;0;3;4;1;1;0;148,5114783;0,05;Broker;899
55;0;3;4;2;2;2;171,6803628;0,05;Broker;901
63;0;3;4;1;2;0;180;0,05;Broker;903
54;0;3;4;1;1;2;175,8378481;0,05;Broker;904
49;0;3;4;1;1;0;165,4647469;0,05;Broker;911
44;0;3;4;1;1;2;133,0146879;0,05;Broker;912
42;0;3;4;1;1;2;130,2930391;0,05;Broker;913
54;0;3;4;1;1;2;174,2555636;0,05;Broker;914
44;0;3;4;1;1;2;140,4283759;0,05;Broker;915
55;0;3;4;1;2;2;176,0284923;0,05;Broker;916
42;0;3;4;1;2;2;126,7208166;0,05;Broker;917
43;0;2;1;3;3;1;135,066688;0,05;Broker;923
41;0;2;2;3;3;1;125,8917497;0,05;Broker;927
43;0;2;1;3;3;1;132,2772285;0,05;Broker;928
52;0;2;2;3;3;1;162,5541347;0,05;Broker;929
45;0;2;2;3;3;1;146,909192;0,05;Broker;931
49;0;2;2;3;3;1;151,4371748;0,05;Broker;936
45;0;2;1;3;3;1;142,0066274;0,05;Broker;939
41;0;2;1;3;3;1;131,1574723;0,05;Broker;941
49;0;2;2;3;3;1;157,6526495;0,05;Broker;942
52;0;2;1;3;3;1;159,3535256;0,05;Broker;945
63;0;2;1;3;3;1;180;0,05;Broker;947
60;0;2;2;3;3;1;180;0,05;Broker;948
60;0;2;2;3;3;1;180;0,05;Broker;949
48;0;2;2;3;3;1;152,9854113;0,05;Broker;951
46;0;2;1;3;3;1;142,9704613;0,05;Broker;955
43;0;2;2;3;3;1;128,2120356;0,05;Broker;957
50;0;2;2;3;3;1;160,0937533;0,05;Broker;960
55;0;2;2;3;3;1;178,5709758;0,05;Broker;961
46;0;2;1;3;3;1;151,458448;0,05;Broker;962
46;0;2;2;3;3;2;147,3015967;0,05;Broker;964
62;0;2;2;3;3;2;180;0,05;Broker;965
43;0;2;1;3;3;0;136,5252161;0,05;Broker;966
57;0;2;1;3;3;0;175,0400186;0,05;Broker;968
62;0;2;1;3;3;0;180;0,05;Broker;969
65;0;2;2;3;3;0;180;0,05;Broker;970
55;0;2;1;3;3;2;170,6377692;0,05;Broker;971
44;0;2;1;3;3;0;141,3566902;0,05;Broker;977
47;0;2;1;3;3;2;151,7690161;0,05;Broker;978
52;0;2;1;3;3;2;161,351746;0,05;Broker;980
43;0;2;1;3;3;2;131,2446753;0,05;Broker;983
50;0;2;1;3;3;0;152,5583698;0,05;Broker;987
48;0;2;1;3;3;2;156,1276653;0,05;Broker;988
47;0;2;2;3;3;0;143,0114796;0,05;Broker;989
62;0;2;1;3;3;2;180;0,05;Broker;990
49;0;2;2;3;3;2;157,8670958;0,05;Broker;991
43;0;2;1;3;3;2;136,803432;0,05;Broker;992
59;0;2;2;3;3;2;180;0,05;Broker;993
58;0;2;1;3;3;2;174,6721394;0,05;Broker;994
43;0;2;1;3;3;0;141,9967395;0,05;Broker;995
48;0;2;2;3;3;2;143,881785;0,05;Broker;996
61;0;2;1;3;3;0;180;0,05;Broker;1000
55;0;2;2;3;3;2;170,3209837;0,05;Broker;1002
58;0;2;2;3;3;2;174,0285679;0,05;Broker;1003
43;0;2;1;3;3;2;135,4525641;0,05;Broker;1004
65;0;2;2;3;3;2;180;0,05;Broker;1005
56;0;2;1;3;3;2;174,5395416;0,05;Broker;1007
49;0;2;1;3;3;2;149,5585998;0,05;Broker;1010
43;0;2;1;3;3;2;130,4193356;0,05;Broker;1011
61;0;2;2;3;3;3;180;0,05;Broker;1012
45;0;2;2;3;3;2;143,7458938;0,05;Broker;1014
55;0;2;1;3;3;2;166,562139;0,05;Broker;1017
64;0;2;1;3;4;1;180;0,05;Broker;1018
50;0;2;1;3;4;1;152,8700384;0,05;Broker;1020
47;0;2;1;3;4;1;142,9092272;0,05;Broker;1023
44;0;2;1;3;4;1;131,6910633;0,05;Broker;1025
50;0;2;1;3;4;1;155,3561876;0,05;Broker;1030
48;0;2;1;3;4;1;148,3422411;0,05;Broker;1031
54;0;2;1;3;4;2;180;0,05;Broker;1037
55;0;2;1;3;4;2;161,2297986;0,05;Broker;1041
54;0;2;1;3;4;0;167,9770213;0,05;Broker;1043
46;0;2;1;3;4;0;147,3881794;0,05;Broker;1045
52;0;2;1;3;4;0;169,7752946;0,05;Broker;1046
49;0;2;1;3;4;0;155,2291489;0,05;Broker;1048
54;0;2;2;3;4;2;173,2498537;0,05;Broker;1049
57;0;2;2;3;4;2;172,3203373;0,05;Broker;1053
52;0;2;1;3;4;0;158,7145974;0,05;Broker;1054
42;0;2;1;3;4;0;137,2870445;0,05;Broker;1057
43;0;2;3;3;3;1;135,3327087;0,05;Broker;1064
55;0;2;3;3;3;1;169,3378975;0,05;Broker;1065
59;0;2;3;3;3;1;175,7212975;0,05;Broker;1068
56;0;2;3;3;3;1;171,2326443;0,05;Broker;1069
62;0;2;3;3;3;2;180;0,05;Broker;1071
50;0;2;3;3;3;0;151,5437975;0,05;Broker;1073
65;0;2;3;3;3;0;180;0,05;Broker;1076
46;0;2;3;3;3;2;138,7674126;0,05;Broker;1077
55;0;2;3;3;3;2;178,6421637;0,05;Broker;1078
52;0;2;3;3;3;2;162,2079654;0,05;Broker;1080
49;0;2;3;3;3;2;143,9090601;0,05;Broker;1082
47;0;2;3;3;3;2;135,8587784;0,05;Broker;1087
50;0;2;3;3;3;2;154,6723274;0,05;Broker;1088
54;0;2;3;3;3;0;164,8443627;0,05;Broker;1091
61;0;2;3;3;3;2;180;0,05;Broker;1092
48;0;2;3;3;3;3;149,7942641;0,05;Broker;1097
49;0;2;3;3;4;1;153,6608463;0,05;Broker;1104
45;0;2;3;3;4;1;140,2568172;0,05;Broker;1105
48;0;2;3;3;4;2;160,1312853;0,05;Broker;1112
52;0;2;3;3;4;2;158,5980783;0,05;Broker;1116
49;0;2;3;3;4;0;160,2378322;0,05;Broker;1117
49;0;2;3;3;4;2;150,5470832;0,05;Broker;1118
56;0;2;3;3;4;2;176,6195469;0,05;Broker;1119
48;0;2;3;3;4;2;140,2147138;0,05;Broker;1120
46;0;2;3;3;4;0;139,7797328;0,05;Broker;1123
42;0;2;3;2;3;2;130,6563155;0,05;Broker;1131
64;0;2;3;2;3;2;180;0,05;Broker;1132
57;0;2;3;1;2;1;178,3151989;0,05;Broker;1135
52;0;2;3;1;2;1;168,2757819;0,05;Broker;1136
60;0;2;3;4;4;1;180;0,05;Broker;1137
44;0;2;3;1;2;1;134,0138816;0,05;Broker;1141
48;0;2;3;1;1;1;151,0686589;0,05;Broker;1142
44;0;2;3;2;2;1;140,0468963;0,05;Broker;1145
60;0;2;3;4;4;1;179,8120872;0,05;Broker;1147
53;0;2;3;4;4;1;170,555042;0,05;Broker;1148
53;0;2;3;1;1;1;170,3343755;0,05;Broker;1153
46;0;2;3;2;2;1;141,3652851;0,05;Broker;1154
63;0;2;3;4;4;1;180;0,05;Broker;1158
