Age,Gender,MarStat,Housing,Educ,Inc_Gr,Children,IQ,Client,rate,cost_type,Default_flg
20,0,4,2,3,4,0,"63,34",4001,"0,067385564",www,0
25,0,4,2,3,4,2,"82,63",4164,"0,067385564",www,0
26,0,1,2,3,4,0,"83,45",4830,"0,067385564",www,0
27,0,1,1,3,4,2,"85,49",5311,"0,067385564",www,0
23,0,1,1,3,4,2,"78,73",7033,"0,067385564",www,1
26,0,4,2,3,4,0,"75,10",7080,"0,067385564",www,0
25,0,1,1,3,4,2,"79,99",7132,"0,067385564",www,0
26,0,1,2,3,4,2,"90,44",7366,"0,067385564",www,0
23,0,1,2,3,4,2,"80,94",7394,"0,067385564",www,0
18,0,1,1,3,4,2,"47,34",7633,"0,067385564",www,1
26,0,1,2,3,4,2,"88,87",7837,"0,067385564",www,0
24,0,4,2,3,4,0,"83,53",9962,"0,067385564",www,0
23,0,1,1,2,3,1,"76,36",6167,"0,094676202",www,0
25,0,1,2,2,3,1,"84,36",7536,"0,094676202",www,0
26,0,4,2,1,1,1,"83,94",34,"0,111843258",www,1
25,0,4,1,1,2,1,"75,94",133,"0,111843258",www,0
23,0,1,2,1,2,1,"73,87",260,"0,111843258",www,1
25,0,4,2,1,2,1,"71,82",548,"0,111843258",www,1
26,0,1,2,1,1,1,"85,00",1419,"0,111843258",www,0
18,0,1,2,1,1,1,"54,07",1891,"0,111843258",www,1
24,0,4,1,1,2,1,"77,97",2106,"0,111843258",www,1
19,0,1,1,2,2,1,"68,49",2444,"0,111843258",www,0
26,0,1,2,4,4,1,"85,41",2540,"0,111843258",www,0
18,0,1,2,1,2,1,"66,60",2799,"0,111843258",www,0
22,0,1,2,4,4,1,"71,17",2969,"0,111843258",www,0
21,0,4,1,1,1,1,"65,21",3301,"0,111843258",www,1
26,0,1,2,2,2,1,"82,20",3319,"0,111843258",www,0
19,0,4,1,1,1,1,"66,77",3458,"0,111843258",www,0
27,0,4,2,1,2,1,"83,17",4509,"0,111843258",www,1
27,0,1,1,4,4,1,"94,99",4685,"0,111843258",www,0
22,0,1,2,1,2,1,"64,30",4952,"0,111843258",www,0
24,0,1,2,4,4,1,"73,84",4994,"0,111843258",www,0
20,0,4,2,2,2,1,"65,65",5168,"0,111843258",www,1
22,0,4,1,1,2,1,"80,14",5346,"0,111843258",www,1
24,0,1,1,2,2,1,"73,27",5432,"0,111843258",www,1
21,0,4,2,1,2,1,"64,44",5650,"0,111843258",www,1
24,0,4,2,4,4,1,"71,18",5735,"0,111843258",www,0
26,0,4,1,1,1,1,"87,22",5874,"0,111843258",www,0
22,0,4,1,1,1,1,"68,88",6877,"0,111843258",www,1
27,0,1,2,1,1,1,"83,38",6890,"0,111843258",www,0
23,0,4,2,1,1,1,"82,32",7244,"0,111843258",www,1
20,0,1,2,1,2,1,"66,00",7494,"0,111843258",www,1
27,0,1,1,1,2,1,"92,34",7955,"0,111843258",www,0
23,0,4,1,1,1,1,"72,84",8140,"0,111843258",www,1
22,0,1,1,1,1,1,"75,40",8756,"0,111843258",www,1
19,0,1,2,4,4,1,"65,96",9038,"0,111843258",www,0
22,0,4,1,2,2,1,"74,69",9360,"0,111843258",www,1
25,0,1,2,1,1,1,"84,42",9571,"0,111843258",www,1
26,0,4,1,1,2,1,"84,91",9591,"0,111843258",www,0
26,0,1,2,1,2,2,"87,63",105,"0,111843258",www,0
23,0,4,2,2,2,2,"68,85",283,"0,111843258",www,1
22,0,1,1,1,2,2,"74,62",486,"0,111843258",www,1
27,0,4,2,1,2,3,"79,07",699,"0,111843258",www,0
25,0,1,1,4,4,0,"85,14",1243,"0,111843258",www,1
18,0,1,1,1,1,2,"53,65",1513,"0,111843258",www,0
22,0,1,1,4,4,2,"74,02",1744,"0,111843258",www,0
19,0,1,1,1,2,2,"61,59",1819,"0,111843258",www,1
23,0,1,1,1,1,2,"75,83",2364,"0,111843258",www,1
20,0,4,2,1,1,2,"71,91",2559,"0,111843258",www,1
23,0,1,1,1,1,0,"76,08",2633,"0,111843258",www,0
18,0,1,2,1,1,2,"66,60",2867,"0,111843258",www,1
22,0,1,1,1,1,2,"75,77",3502,"0,111843258",www,1
24,0,4,1,1,1,2,"72,44",3826,"0,111843258",www,0
21,0,4,2,1,1,2,"67,81",3865,"0,111843258",www,1
20,0,4,2,1,2,0,"70,12",4053,"0,111843258",www,1
24,0,1,1,1,2,0,"74,85",4451,"0,111843258",www,1
25,0,1,1,1,1,2,"85,43",4542,"0,111843258",www,1
18,0,4,1,4,4,2,"69,45",5104,"0,111843258",www,0
25,0,1,1,4,4,2,"78,42",5113,"0,111843258",www,0
24,0,4,2,1,1,2,"71,68",5335,"0,111843258",www,1
27,0,4,1,1,2,0,"89,17",5556,"0,111843258",www,0
19,0,1,2,1,1,2,"63,77",5848,"0,111843258",www,0
22,0,4,2,1,1,2,"68,61",5863,"0,111843258",www,1
19,0,1,2,4,4,0,"69,00",5897,"0,111843258",www,0
22,0,4,1,1,2,2,"78,47",5998,"0,111843258",www,1
20,0,4,2,4,4,2,"72,41",6082,"0,111843258",www,0
25,0,4,2,1,1,2,"81,27",6231,"0,111843258",www,1
24,0,4,1,4,4,0,"72,09",6305,"0,111843258",www,1
24,0,4,1,1,1,2,"69,28",6428,"0,111843258",www,1
26,0,4,2,1,1,2,"95,81",6710,"0,111843258",www,0
25,0,4,2,1,2,0,"74,17",6755,"0,111843258",www,1
25,0,1,2,1,1,0,"76,22",6875,"0,111843258",www,0
22,0,4,2,1,1,2,"70,67",6914,"0,111843258",www,1
25,0,4,2,4,4,2,"76,23",6961,"0,111843258",www,1
25,0,1,2,1,2,2,"81,91",7051,"0,111843258",www,0
26,0,4,1,4,4,2,"71,97",7058,"0,111843258",www,0
23,0,4,2,1,1,2,"74,40",7405,"0,111843258",www,0
26,0,1,2,1,2,3,"79,92",7552,"0,111843258",www,0
24,0,4,1,2,2,2,"78,37",7999,"0,111843258",www,1
27,0,1,2,1,2,2,"94,82",8216,"0,111843258",www,0
27,0,1,2,2,2,2,"85,15",8238,"0,111843258",www,0
22,0,4,1,4,4,2,"80,84",8390,"0,111843258",www,0
26,0,1,1,2,2,0,"80,75",8707,"0,111843258",www,1
24,0,4,2,4,4,0,"77,74",8988,"0,111843258",www,0
24,0,1,1,1,1,2,"73,91",9074,"0,111843258",www,1
25,0,4,1,1,1,2,"84,20",9125,"0,111843258",www,0
26,0,1,2,4,4,0,"82,15",9316,"0,111843258",www,0
25,0,4,2,1,2,2,"82,29",9728,"0,111843258",www,1
18,0,4,2,1,2,0,"65,21",9752,"0,111843258",www,1
27,0,4,3,3,3,1,"87,50",1424,"0,05",www,0
27,0,1,3,3,3,1,"81,20",1949,"0,05",www,0
24,0,1,3,3,3,1,"77,98",2301,"0,05",www,0
26,0,4,3,3,3,1,"76,35",2642,"0,05",www,0
27,0,4,3,3,3,1,"85,34",4254,"0,05",www,0
27,0,1,3,3,3,1,"84,93",8679,"0,05",www,0
21,0,1,3,3,3,2,"68,47",471,"0,05",www,0
21,0,4,3,3,3,2,"70,46",2291,"0,05",www,0
26,0,1,3,3,3,0,"77,67",2851,"0,05",www,0
25,0,1,3,3,3,2,"83,85",3410,"0,05",www,0
26,0,1,3,3,3,0,"87,51",3419,"0,05",www,0
18,0,4,3,3,3,0,"63,04",3498,"0,05",www,0
18,0,4,3,3,3,0,"63,52",4108,"0,05",www,0
27,0,4,3,3,3,2,"81,98",4199,"0,05",www,0
21,0,4,3,3,3,0,"68,65",5867,"0,05",www,0
22,0,1,3,3,3,0,"72,15",6248,"0,05",www,0
27,0,1,3,3,3,0,"95,22",6285,"0,05",www,0
27,0,1,3,3,3,0,"82,53",7012,"0,05",www,0
26,0,4,3,3,3,0,"92,18",7506,"0,05",www,0
25,0,4,3,3,3,3,"82,88",7572,"0,05",www,0
27,0,1,3,3,3,0,"83,29",8846,"0,05",www,0
25,0,4,3,3,3,0,"75,70",8993,"0,05",www,1
22,0,4,3,3,3,2,"63,84",9127,"0,05",www,0
22,0,1,3,3,3,2,"75,37",9419,"0,05",www,0
20,0,4,3,3,3,2,"71,75",9803,"0,05",www,0
21,0,1,3,3,4,1,"74,66",1953,"0,05",www,0
25,0,4,3,3,4,1,"88,12",3749,"0,05",www,1
25,0,1,3,3,4,1,"85,41",4197,"0,05",www,0
19,0,1,3,3,4,1,"67,16",9197,"0,05",www,1
21,0,1,3,3,4,1,"70,98",9362,"0,05",www,0
20,0,1,3,3,4,1,"76,48",9858,"0,05",www,0
18,0,1,3,3,4,2,"66,91",693,"0,05",www,1
21,0,4,3,3,4,2,"63,56",2715,"0,05",www,0
18,0,1,3,3,4,0,"53,19",5354,"0,05",www,0
19,0,4,3,3,4,2,"61,08",9604,"0,05",www,1
27,0,1,3,2,3,2,"89,48",1580,"0,05",www,0
25,0,1,3,2,3,2,"85,19",8502,"0,05",www,0
27,0,4,3,4,4,1,"87,74",109,"0,05",www,0
22,0,1,3,2,2,1,"74,51",374,"0,05",www,0
27,0,1,3,4,4,1,"82,77",447,"0,05",www,0
23,0,4,3,1,2,1,"72,87",632,"0,05",www,0
25,0,1,3,1,2,1,"85,12",830,"0,05",www,0
24,0,1,3,1,1,1,"77,23",877,"0,05",www,0
27,0,1,3,1,1,1,"83,91",1623,"0,05",www,0
23,0,4,3,1,1,1,"71,49",1649,"0,05",www,0
19,0,4,3,2,2,1,"67,59",2196,"0,05",www,1
27,0,4,3,1,1,1,"82,50",2806,"0,05",www,0
27,0,1,3,1,1,1,"84,26",3076,"0,05",www,0
27,0,4,3,1,1,1,"90,06",3385,"0,05",www,1
25,0,4,3,2,2,1,"74,86",3735,"0,05",www,0
26,0,4,3,1,1,1,"84,39",3847,"0,05",www,0
23,0,1,3,4,4,1,"78,35",3921,"0,05",www,0
24,0,4,3,4,4,1,"76,96",4543,"0,05",www,0
24,0,4,3,1,1,1,"77,50",6091,"0,05",www,1
27,0,4,3,1,1,1,"93,70",6122,"0,05",www,0
18,0,4,3,1,1,1,"60,28",6926,"0,05",www,0
27,0,1,3,4,4,1,"93,87",7001,"0,05",www,0
19,0,1,3,1,1,1,"57,25",7680,"0,05",www,1
24,0,4,3,2,2,1,"80,68",7932,"0,05",www,0
19,0,4,3,2,2,2,"76,41",1197,"0,05",www,0
26,0,4,3,1,2,2,"96,97",3178,"0,05",www,0
21,0,4,3,1,2,2,"65,96",3354,"0,05",www,0
18,0,4,3,4,4,2,"53,23",3939,"0,05",www,0
18,0,1,3,4,4,0,"56,56",4401,"0,05",www,0
20,0,1,3,2,2,0,"67,39",4561,"0,05",www,1
22,0,1,3,1,1,0,"73,42",4806,"0,05",www,0
21,0,1,3,2,2,2,"67,50",5571,"0,05",www,0
25,0,4,3,1,1,2,"78,21",5869,"0,05",www,0
27,0,1,3,4,4,0,"85,51",6728,"0,05",www,0
24,0,1,3,1,1,0,"80,84",8700,"0,05",www,0
26,0,1,3,1,2,0,"88,95",8730,"0,05",www,0
25,0,1,3,1,1,3,"84,85",9970,"0,05",www,0
20,0,4,4,3,3,1,"64,46",673,"0,05",www,0
24,0,1,4,3,3,1,"74,14",811,"0,05",www,0
27,0,4,4,3,3,1,"98,57",874,"0,05",www,0
21,0,4,4,3,3,1,"68,20",1026,"0,05",www,0
26,0,1,4,3,3,1,"88,55",1152,"0,05",www,0
19,0,4,4,3,3,1,"57,54",2007,"0,05",www,0
27,0,1,4,3,3,1,"83,59",2110,"0,05",www,0
27,0,1,4,3,3,1,"88,50",5400,"0,05",www,0
22,0,1,4,3,3,1,"70,64",7257,"0,05",www,0
25,0,4,4,3,3,1,"93,24",9502,"0,05",www,0
18,0,4,4,3,3,2,"57,66",1176,"0,05",www,0
22,0,1,4,3,3,2,"65,87",1470,"0,05",www,0
18,0,4,4,3,3,2,"58,72",2465,"0,05",www,0
24,0,4,4,3,3,0,"74,65",2995,"0,05",www,1
19,0,4,4,3,3,2,"67,28",5421,"0,05",www,0
26,0,4,4,3,3,0,"85,78",6176,"0,05",www,1
19,0,1,4,3,3,0,"65,50",6898,"0,05",www,0
25,0,4,4,3,3,2,"85,79",7291,"0,05",www,0
20,0,1,4,3,3,2,"60,95",7294,"0,05",www,0
22,0,1,4,3,3,2,"78,10",8421,"0,05",www,0
20,0,1,4,3,3,2,"66,62",9267,"0,05",www,1
23,0,4,4,3,4,1,"79,89",3693,"0,05",www,0
22,0,1,4,3,4,1,"72,70",4021,"0,05",www,1
27,0,1,4,3,4,1,"93,52",4466,"0,05",www,0
20,0,1,4,3,4,1,"67,22",7168,"0,05",www,0
27,0,1,4,3,4,2,"86,86",1355,"0,05",www,0
22,0,4,4,3,4,2,"79,42",3012,"0,05",www,0
26,0,1,4,3,4,2,"84,62",5391,"0,05",www,0
24,0,1,4,3,4,0,"71,01",5404,"0,05",www,0
27,0,4,4,3,4,3,"84,73",9644,"0,05",www,0
27,0,1,4,3,4,2,"91,07",9933,"0,05",www,0
25,0,1,4,2,3,1,"78,15",5486,"0,05",www,0
25,0,1,4,2,3,1,"77,89",6440,"0,05",www,1
20,0,4,4,2,3,1,"59,57",7554,"0,05",www,0
27,0,1,4,2,3,2,"76,04",4472,"0,05",www,0
26,0,1,4,2,2,1,"79,65",337,"0,053730194",www,0
22,0,1,4,1,1,1,"63,72",1224,"0,053730194",www,1
27,0,4,4,1,1,1,"90,84",2803,"0,053730194",www,0
26,0,4,4,1,2,1,"88,06",4978,"0,053730194",www,1
24,0,4,4,1,2,1,"77,30",5314,"0,053730194",www,0
24,0,1,4,1,1,1,"67,04",8258,"0,053730194",www,1
24,0,4,4,1,1,1,"76,44",8979,"0,053730194",www,1
24,0,4,4,1,2,1,"80,35",9403,"0,053730194",www,0
27,0,4,4,1,1,1,"86,90",9453,"0,053730194",www,0
26,0,1,4,1,2,2,"81,53",346,"0,053730194",www,0
24,0,4,4,4,4,0,"76,41",873,"0,053730194",www,0
25,0,1,4,1,1,2,"81,95",1548,"0,053730194",www,0
26,0,1,4,1,1,2,"87,08",1969,"0,053730194",www,1
24,0,4,4,1,1,0,"79,44",2173,"0,053730194",www,1
21,0,1,4,1,1,0,"75,02",3257,"0,053730194",www,0
25,0,1,4,1,2,2,"83,10",3564,"0,053730194",www,1
21,0,4,4,1,1,3,"73,86",4309,"0,053730194",www,0
26,0,1,4,1,2,2,"84,10",4434,"0,053730194",www,0
22,0,1,4,1,2,2,"72,00",4914,"0,053730194",www,1
26,0,4,4,4,4,2,"75,76",5776,"0,053730194",www,0
25,0,1,4,1,1,3,"85,17",5830,"0,053730194",www,0
23,0,1,4,1,1,2,"71,89",5915,"0,053730194",www,1
20,0,1,4,4,4,2,"63,49",6111,"0,053730194",www,0
20,0,4,4,4,4,2,"69,41",6403,"0,053730194",www,0
24,0,4,4,1,2,0,"77,68",6738,"0,053730194",www,1
26,0,4,4,1,2,2,"91,88",7114,"0,053730194",www,1
24,0,4,4,1,2,0,"77,89",7228,"0,053730194",www,0
25,0,4,4,1,2,0,"85,90",7601,"0,053730194",www,1
24,0,4,4,1,1,0,"75,75",7815,"0,053730194",www,0
23,0,1,4,2,2,0,"82,09",8980,"0,053730194",www,0
26,0,4,4,1,1,2,"86,73",9000,"0,053730194",www,0
18,0,4,4,1,1,2,"69,24",9214,"0,053730194",www,1
27,0,4,4,2,2,0,"94,35",9265,"0,053730194",www,0
23,0,1,4,2,2,0,"73,43",9767,"0,053730194",www,0
27,0,3,2,3,3,1,"83,51",122,"0,05",www,0
24,0,3,1,3,3,1,"80,39",4511,"0,05",www,0
20,0,3,2,3,3,1,"69,10",7827,"0,05",www,0
19,0,3,1,3,3,2,"64,33",5031,"0,05",www,0
24,0,3,1,3,3,2,"82,63",5509,"0,05",www,0
27,0,3,2,3,3,0,"85,59",5530,"0,05",www,0
27,0,3,1,3,3,2,"78,03",5859,"0,05",www,0
25,0,3,1,3,3,2,"87,58",6106,"0,05",www,0
26,0,3,2,3,3,0,"91,04",7196,"0,05",www,0
24,0,3,2,3,3,2,"70,35",7226,"0,05",www,0
21,0,3,1,3,3,2,"74,00",7233,"0,05",www,0
26,0,3,1,3,3,2,"89,05",7772,"0,05",www,0
25,0,3,2,3,3,2,"80,82",7998,"0,05",www,1
24,0,3,1,3,3,2,"69,20",8088,"0,05",www,0
23,0,3,1,3,3,2,"74,98",9538,"0,05",www,0
27,0,3,1,3,4,1,"78,79",1703,"0,05",www,0
20,0,3,1,3,4,1,"60,86",1764,"0,05",www,0
27,0,3,1,3,4,1,"81,96",3032,"0,05",www,0
27,0,3,1,3,4,1,"87,40",6736,"0,05",www,0
20,0,3,2,3,4,1,"57,17",6974,"0,05",www,0
21,0,3,1,3,4,1,"61,45",8790,"0,05",www,0
20,0,3,2,3,4,2,"66,31",904,"0,05",www,1
25,0,3,2,3,4,0,"86,96",2921,"0,05",www,0
23,0,3,1,3,4,0,"84,76",4043,"0,05",www,0
27,0,3,2,3,4,0,"81,79",6128,"0,05",www,0
23,0,3,2,3,4,3,"73,33",6243,"0,05",www,0
22,0,3,1,3,4,0,"70,69",6734,"0,05",www,0
25,0,3,1,2,3,1,"84,46",4828,"0,058304364",www,0
22,0,3,2,2,3,2,"78,52",4032,"0,058304364",www,1
23,0,3,1,1,2,1,"66,84",361,"0,07347728",www,0
24,0,3,2,1,1,1,"82,57",2830,"0,07347728",www,1
18,0,3,2,2,2,1,"58,22",3203,"0,07347728",www,0
20,0,3,2,2,2,1,"64,36",3637,"0,07347728",www,0
26,0,3,1,1,1,1,"76,91",5447,"0,07347728",www,0
24,0,3,1,4,4,1,"85,06",5811,"0,07347728",www,0
25,0,3,2,1,1,1,"81,27",6345,"0,07347728",www,0
21,0,3,2,1,1,1,"68,11",6548,"0,07347728",www,1
27,0,3,1,2,2,1,"81,24",6655,"0,07347728",www,0
27,0,3,2,4,4,1,"87,34",7406,"0,07347728",www,0
26,0,3,1,1,1,1,"76,77",8370,"0,07347728",www,0
19,0,3,2,1,1,1,"60,83",8769,"0,07347728",www,0
21,0,3,2,4,4,2,"74,17",397,"0,07347728",www,0
24,0,3,2,2,2,2,"73,59",572,"0,07347728",www,0
23,0,3,1,1,2,2,"76,51",595,"0,07347728",www,1
27,0,3,2,1,2,2,"87,44",1352,"0,07347728",www,0
26,0,3,1,1,1,0,"86,32",1487,"0,07347728",www,0
21,0,3,2,4,4,2,"62,22",1936,"0,07347728",www,0
27,0,3,2,1,1,2,"81,39",2275,"0,07347728",www,0
25,0,3,1,4,4,0,"80,57",2276,"0,07347728",www,1
20,0,3,2,1,2,2,"73,42",3320,"0,07347728",www,1
21,0,3,2,1,2,2,"65,08",3485,"0,07347728",www,1
25,0,3,1,1,1,2,"87,42",3546,"0,07347728",www,1
27,0,3,1,1,1,2,"82,85",4092,"0,07347728",www,0
20,0,3,2,1,1,0,"65,77",4730,"0,07347728",www,1
26,0,3,2,2,2,2,"86,02",4796,"0,07347728",www,0
22,0,3,2,1,2,2,"58,70",5352,"0,07347728",www,0
23,0,3,1,2,2,2,"74,69",5408,"0,07347728",www,0
25,0,3,1,2,2,0,"72,77",6470,"0,07347728",www,1
23,0,3,1,4,4,2,"69,89",7011,"0,07347728",www,0
22,0,3,1,1,1,0,"87,28",7277,"0,07347728",www,1
26,0,3,2,2,2,2,"87,30",7966,"0,07347728",www,0
25,0,3,2,4,4,2,"79,94",8119,"0,07347728",www,0
25,0,3,1,1,1,2,"82,49",8983,"0,07347728",www,0
22,0,3,2,1,1,0,"76,77",9065,"0,07347728",www,0
18,0,3,1,4,4,0,"52,65",9441,"0,07347728",www,0
27,0,3,2,1,2,0,"87,61",9474,"0,07347728",www,0
23,0,3,2,1,2,2,"78,63",9539,"0,07347728",www,1
23,0,3,2,1,2,0,"75,28",9806,"0,07347728",www,1
21,0,3,3,3,3,1,"71,69",579,"0,05",www,0
26,0,3,3,3,3,1,"89,61",1161,"0,05",www,0
23,0,3,3,3,3,1,"66,11",1402,"0,05",www,0
22,0,3,3,3,3,1,"75,65",8411,"0,05",www,1
27,0,3,3,3,3,2,"89,80",75,"0,05",www,0
25,0,3,3,3,3,2,"73,99",1206,"0,05",www,0
25,0,3,3,3,3,2,"81,88",1633,"0,05",www,0
27,0,3,3,3,3,2,"99,41",1972,"0,05",www,0
27,0,3,3,3,3,2,"96,27",7567,"0,05",www,0
25,0,3,3,3,3,2,"77,41",7845,"0,05",www,0
25,0,3,3,3,3,2,"79,67",9102,"0,05",www,0
22,0,3,3,3,3,0,"65,09",9877,"0,05",www,0
18,0,3,3,3,4,1,"53,38",2336,"0,05",www,0
23,0,3,3,3,4,1,"72,46",4127,"0,05",www,1
26,0,3,3,3,4,1,"87,25",7275,"0,05",www,0
27,0,3,3,3,4,1,"80,84",9171,"0,05",www,0
22,0,3,3,3,4,1,"81,53",9174,"0,05",www,0
23,0,3,3,3,4,0,"71,62",2158,"0,05",www,0
18,0,3,3,3,4,2,"65,60",4004,"0,05",www,1
23,0,3,3,3,4,2,"68,57",6754,"0,05",www,0
23,0,3,3,3,4,0,"77,25",7758,"0,05",www,0
27,0,3,3,2,3,0,"90,32",789,"0,05",www,0
23,0,3,3,2,3,2,"70,08",5481,"0,05",www,1
26,0,3,3,2,3,2,"83,17",5821,"0,05",www,0
22,0,3,3,2,3,2,"75,83",8685,"0,05",www,0
21,0,3,3,2,2,1,"68,53",446,"0,05",www,0
23,0,3,3,2,2,1,"75,41",2960,"0,05",www,0
25,0,3,3,1,1,1,"78,70",3514,"0,05",www,0
23,0,3,3,4,4,1,"77,43",9719,"0,05",www,0
24,0,3,3,1,1,0,"76,92",192,"0,05",www,0
26,0,3,3,4,4,0,"86,29",569,"0,05",www,0
19,0,3,3,2,2,2,"65,71",2360,"0,05",www,0
24,0,3,3,1,1,2,"75,51",4929,"0,05",www,0
27,0,3,3,1,1,0,"79,62",5340,"0,05",www,0
22,0,3,3,2,2,0,"80,97",5396,"0,05",www,0
26,0,3,3,1,1,0,"79,29",5999,"0,05",www,0
24,0,3,3,2,2,2,"75,17",6902,"0,05",www,0
25,0,3,3,1,2,0,"81,53",8893,"0,05",www,0
26,0,3,4,3,3,1,"76,93",289,"0,05",www,0
26,0,3,4,3,3,1,"79,30",540,"0,05",www,0
27,0,3,4,3,3,1,"83,23",6476,"0,05",www,0
25,0,3,4,3,3,1,"83,37",8881,"0,05",www,0
25,0,3,4,3,3,1,"78,12",9723,"0,05",www,0
27,0,3,4,3,3,1,"91,45",9750,"0,05",www,0
21,0,3,4,3,3,0,"65,25",669,"0,05",www,0
25,0,3,4,3,3,0,"77,77",2044,"0,05",www,0
22,0,3,4,3,3,0,"73,72",5919,"0,05",www,0
26,0,3,4,3,3,0,"88,06",7650,"0,05",www,0
27,0,3,4,3,3,0,"84,19",7925,"0,05",www,0
27,0,3,4,3,3,0,"97,26",8443,"0,05",www,0
22,0,3,4,3,3,0,"72,49",8457,"0,05",www,0
24,0,3,4,3,4,2,"81,62",381,"0,05",www,0
19,0,3,4,3,4,2,"62,01",3205,"0,05",www,0
21,0,3,4,3,4,2,"70,33",6181,"0,05",www,0
26,0,3,4,3,4,2,"86,29",8153,"0,05",www,0
27,0,3,4,3,4,2,"83,64",8845,"0,05",www,0
26,0,3,4,2,3,1,"80,34",6683,"0,05",www,0
23,0,3,4,2,3,0,"74,84",2309,"0,05",www,0
19,0,3,4,1,1,1,"62,40",686,"0,05",www,1
27,0,3,4,4,4,1,"87,23",803,"0,05",www,0
26,0,3,4,1,2,1,"90,02",2585,"0,05",www,0
21,0,3,4,1,2,1,"72,04",4371,"0,05",www,0
23,0,3,4,4,4,1,"72,36",5825,"0,05",www,0
27,0,3,4,1,1,1,"89,06",7595,"0,05",www,0
27,0,3,4,1,2,1,"90,61",9380,"0,05",www,0
27,0,3,4,1,1,1,"89,26",9865,"0,05",www,0
26,0,3,4,4,4,2,"90,16",12,"0,05",www,0
25,0,3,4,1,2,2,"82,91",556,"0,05",www,0
25,0,3,4,2,2,2,"73,29",1126,"0,05",www,0
22,0,3,4,1,2,0,"78,72",1912,"0,05",www,0
26,0,3,4,1,2,2,"84,73",1963,"0,05",www,0
18,0,3,4,1,1,2,"59,15",4431,"0,05",www,0
